state,x,y
Andhra Pradesh,-73.0,-200.0
Arunachal Pradesh,293.0,140.0
Assam,247,80
Bihar,79,62
Chhattisgarh,-13,-49
Goa,-195,-199
Gujarat,-247,4
Haryana,-144.0,153.0
Himachal Pradesh,-123.0,232.0
Jammu and Kashmir,-181.0,282.0
Jharkhand,66.0,6.0
Karnataka,-155.0,-224.0
Kerala,-144.0,-313.0
Madhya Pradesh,-102.0,-5.0
Maharashtra,-170.0,-100.0
Manipur,268.0,32.0
Meghalaya,209.0,52.0
Mizoram,243.0,0.0
Nagaland,290.0,74.0
Odisha,52.0,-63.0
Punjab,-167.0,200.0
Rajasthan,-205.0,89.0
Sikkim,143.0,115.0
Tamil Nadu,-90.0,-305.0
Telangana,-83.0,-139.0
Tripura,215.0,5.0
Uttar Pradesh,-44.0,110.0
Uttarakhand,-80.0,191.0
West Bengal,127.0,-3.0
